phrase,meaning,example
ghost someone #1924,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #1925,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #1926,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #1927,과시하다,He likes to flex his new watch.
on fleek #1928,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #1929,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #1930,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1931,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #1932,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #1933,과시하다,He likes to flex his new watch.
spill the tea #1934,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #1935,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #1936,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #1937,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #1938,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #1939,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #1940,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #1941,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #1942,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #1943,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #1944,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #1945,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #1946,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1947,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #1948,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1949,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #1950,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #1951,거짓말,He said he met Beyoncé. That’s cap.
on fleek #1952,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #1953,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #1954,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1955,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1956,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #1957,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #1958,이전과 다르게 느껴지다,This song just hits different at night.
low-key #1959,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #1960,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #1961,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #1962,과시하다,He likes to flex his new watch.
hit different #1963,이전과 다르게 느껴지다,This song just hits different at night.
no cap #1964,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1965,과시하다,He likes to flex his new watch.
on fleek #1966,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1967,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #1968,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #1969,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #1970,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #1971,이전과 다르게 느껴지다,This song just hits different at night.
flex #1972,과시하다,He likes to flex his new watch.
ghost someone #1973,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #1974,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #1975,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #1976,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1977,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1978,과시하다,He likes to flex his new watch.
cap #1979,거짓말,He said he met Beyoncé. That’s cap.
hit different #1980,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1981,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #1982,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #1983,거짓말,He said he met Beyoncé. That’s cap.
cap #1984,거짓말,He said he met Beyoncé. That’s cap.
hit different #1985,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1986,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #1987,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #1988,거짓말,He said he met Beyoncé. That’s cap.
hit different #1989,이전과 다르게 느껴지다,This song just hits different at night.
no cap #1990,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #1991,거짓말,He said he met Beyoncé. That’s cap.
low-key #1992,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #1993,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #1994,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #1995,거짓말,He said he met Beyoncé. That’s cap.
hit different #1996,이전과 다르게 느껴지다,This song just hits different at night.
cap #1997,거짓말,He said he met Beyoncé. That’s cap.
throw shade #1998,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #1999,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #2000,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #2001,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #2002,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #2003,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #2004,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #2005,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #2006,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #2007,거짓말,He said he met Beyoncé. That’s cap.
hit different #2008,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #2009,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #2010,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #2011,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2012,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #2013,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #2014,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2015,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2016,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #2017,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #2018,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #2019,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #2020,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #2021,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #2022,거짓말,He said he met Beyoncé. That’s cap.
on fleek #2023,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2024,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #2025,이전과 다르게 느껴지다,This song just hits different at night.
high-key #2026,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #2027,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #2028,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #2029,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2030,이전과 다르게 느껴지다,This song just hits different at night.
cap #2031,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #2032,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #2033,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #2034,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #2035,과시하다,He likes to flex his new watch.
ghost someone #2036,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #2037,거짓말,He said he met Beyoncé. That’s cap.
low-key #2038,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #2039,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #2040,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #2041,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #2042,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #2043,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #2044,거짓말,He said he met Beyoncé. That’s cap.
throw shade #2045,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #2046,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #2047,과시하다,He likes to flex his new watch.
spill the tea #2048,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #2049,과시하다,He likes to flex his new watch.
flex #2050,과시하다,He likes to flex his new watch.
throw shade #2051,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #2052,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #2053,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #2054,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #2055,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2056,이전과 다르게 느껴지다,This song just hits different at night.
hit different #2057,이전과 다르게 느껴지다,This song just hits different at night.
cap #2058,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #2059,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2060,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #2061,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #2062,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #2063,과시하다,He likes to flex his new watch.
flex #2064,과시하다,He likes to flex his new watch.
no cap #2065,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #2066,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #2067,과시하다,He likes to flex his new watch.
cap #2068,거짓말,He said he met Beyoncé. That’s cap.
low-key #2069,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #2070,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #2071,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #2072,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #2073,거짓말,He said he met Beyoncé. That’s cap.
flex #2074,과시하다,He likes to flex his new watch.
